Question,Ground_Truth
Trường đại học nào mà Edward C. Prescott đã tham gia giảng dạy?,/Swarthmore College
Ngày nào Dorothy Hodgkin sinh?,12 Tháng 5
Quốc tịch của Daniel Kahneman là gì?,Hoa Kỳ
Nơi nào Donna Strickland công tác?,Đại Học Waterloo
Nơi nào Craig Mello sinh ra?,New Haven
Trường học nào mà Eric Allin Cornell đã tham gia?,Học Viện Công Nghệ Massachusetts
David Julius học tại trường đại học nào?,"Đại Học California, Berkeley"
Dorothy Hodgkin đã nhận được giải thưởng nào trong lĩnh vực Hóa Học?,Giải Nobel Hóa Học
Didier Queloz đã được trao giải thưởng nào trong lĩnh vực Vật Lý?,Giải Wolf Vật Lý
Edward Adelbert Doisy mất tại quốc gia nào?,Hoa Kỳ
Ai là những người đã đoạt giải Nobel trong lĩnh vực Sinh lý học và Y khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ai là người hướng dẫn luận án tiến sĩ của David Card?,/Orley Ashenfelter
Đại học nào mà Daniel McFadden làm việc tại?,Đại Học Nam California
Ai là người phụ nữ nổi tiếng đã từng làm Thủ tướng Anh vào thế kỷ 20?,/Magaret Thatcher
Nơi Edward Condon công tác là đâu?,/Viện Tiêu Chuẩn Và Kỹ Thuật Quốc Gia
Ernest Lawrence làm việc tại đâu?,"Đại Học California, Berkeley"
Edward Teller làm việc tại đâu?,Viện Niels Bohr
Edmund Phelps làm việc ở đâu?,Đại Học Columbia
Edward Victor Appleton là thành viên của tổ chức nào?,Thành Viên Hội Hoàng Gia
Ai đã được trao Huy Chương Elliott Cresson?,/Huy Chương Elliott Cresson
Ai đã được trao Giải Wolf Về Hóa Học?,Giải Wolf Về Hóa Học
Edward Lawrie Tatum sinh ở đâu?,/Boulder
"Nơi sinh của Earl Wilbur Sutherland, Jr là ở đâu?",Kansas
David J. Thouless đã được trao giải thưởng nào?,/Maxwell Medal And Prize
Ai là người hướng dẫn luận án tiến sĩ của Edward Adelbert Doisy?,/Otto Folin
Donald J. Cram đã giảng dạy tại trường đại học nào?,/Rollins College
Doris Lessing sinh ở đâu?,Kermanshah
Ở đâu Daniel Nathans làm việc?,Đại Học Johns Hopkins
Quốc tịch của Douglass North là gì?,Hoa Kỳ
Năm sinh của Donald A. Glaser là bao nhiêu?,1926
Ai đã nhận Huy Chương Priestley?,Huy Chương Priestley
Emil Adolf Von Behring sinh ở đâu?,/Ławice
"Bạn muốn tôi tạo câu hỏi tiếng Việt ngắn mà câu trả lời là ""Http://Oskicat.Berkeley.Edu/Record=B12138684~S1"" phải không?",Http://Oskicat.Berkeley.Edu/Record=B12138684~S1
Nơi công tác của Edward Teller là gì?,/Viện Hoover
Nơi Edwin G. Krebs công tác là đâu?,Đại Học California Tại Davis
Edward Teller đã từng giảng dạy tại trường đại học nào?,/University Of Karlsruhe
Nơi Ei-Ichi Negishi công tác là đâu?,/Đại Học Syracuse
Năm nào Elias James Corey đã giành giải thưởng?,1978
Ai đã được trao Giải Wolf Vật Lý?,Giải Wolf Vật Lý
Edward Mills Purcell đã nhận được giải thưởng nào?,Huy Chương Oersted
Nơi Edward Calvin Kendall sinh là ở đâu?,/South Norwalk
Nơi Elinor Ostrom sinh là thành phố nào?,Los Angeles
Ai là người hướng dẫn tiến sĩ cho Ernest Rutherford?,Không có người hướng dẫn tiến sĩ
Quốc gia nào là quê hương của nhà văn Elfriede Jelinek?,Áo
Corneille Heymans làm việc ở đâu?,/Đại Học Ghent
Elizabeth Blackburn làm việc tại đâu?,Đại Học California Tại Berkeley
Donna Strickland được trao giải thưởng nào?,/OSA Fellow
Edward Condon làm việc tại đâu?,Đại Học Columbia
Elizabeth Blackburn đã nhận giải thưởng nào?,Giải Paul Ehrlich Và Ludwig Darmstaedter
Ei-Ichi Negishi mất ở đâu?,Hoa Kỳ
Đâu là quê hương của Daniel McFadden?,Hoa Kỳ
Emilio G. Segrè sinh ở đâu?,"/Tivoli, Italy"
Daniel McFadden đã được trao giải thưởng nào?,/Giải Kinh Tế Erwin Plein Nemmers
Trường đại học nào mà Dan Shechtman làm việc tại?,/Technion
Nơi Elie Wiesel sinh ra là đâu?,Sighetu Marmației
Nơi Edward Condon công tác là trường đại học nào?,/Đại Học Washington Ở St. Louis
Ai là người nghiên cứu sinh nổi tiếng cùng với Edward Teller?,/Laszlo Tisza
Ở đâu là nơi sinh của Dario Fo?,/Leggiuno-Sangiano
Nơi Elinor Ostrom mất là đâu?,"/Bloomington, Indiana"
Ai đã được trao Giải Vật Chất Ngưng Tụ Oliver E. Buckley?,/Giải Vật Chất Ngưng Tụ Oliver E. Buckley
"Ai là người đã được trao ""Giải Nobel Văn Học""?",Giải Nobel Văn Học
Ai là người nghiên cứu sinh nổi tiếng được đề cử Nobel Hóa học năm 2019?,/Vy Dong
Ai là người được kể đến trong Triple nhưng không phải là Edward Teller?,/Marvin Leonard Goldberger
Năm nào Ernest Rutherford sinh ra?,1871
Dennis Gabor sinh ở đâu?,Vương Quốc Hungary
Ai là người phối ngẫu của Donald A. Glaser?,/Lynn Bercovitz
Ai là người hướng dẫn tiến sĩ của David Julius?,Không có người hướng dẫn tiến sĩ
Ai là nghiên cứu sinh nổi tiếng được đề cử trong Triple với Edward Teller?,/Hans-Peter Dürr
Drew Weissman đã nhận được giải thưởng nào?,/Giải Đột Phá Trong Khoa Học Đời Sống
Quốc tịch của Daniel McFadden là gì?,Hoa Kỳ
Ai đã nhận Huy Chương Và Giải Duddell?,/Huy Chương Và Giải Duddell
Ai không có người hướng dẫn tiến sĩ?,Không có người hướng dẫn tiến sĩ
Trường đại học nào mà Edward Victor Appleton đã tốt nghiệp?,"/Đại Học St John'S, Cambridge"
