Question,Ground_Truth
Dmitry Muratov sinh ở đâu trong quá khứ?,Liên Xô
Ai đã nhận Huy Chương Priestley?,Huy Chương Priestley
Ai không có người hướng dẫn tiến sĩ trong luận án của mình?,Không có người hướng dẫn tiến sĩ
Ở đâu Daron Acemoglu sinh ra?,Istanbul
Aaron Klug đã mất ở đâu?,Cambridge
"Ai là người được đề cử trong Triple ""Arnold Sommerfeld - Các nghiên cứu sinh nổi tiếng - /Walther Kossel""?",/Walther Kossel
Bertil Ohlin sinh ở đâu?,Hạt Skåne
Nơi Charles Thomson Rees Wilson mất là ở đâu?,Edinburgh
Andrei Sakharov đã nhận được giải thưởng nào vào năm 1975?,Giải Nobel Hòa Bình
Ai là người nghiên cứu cùng với Anton Zeilinger trong lĩnh vực khoa học?,/Thomas Jennewein
Ai là người hướng dẫn luận án tiến sĩ của Adolf Von Baeyer?,Không có người hướng dẫn tiến sĩ
Giải thưởng nào Aleksandr Solzhenitsyn từng nhận được?,/Giải Thưởng Quốc Tế Botev
Quốc tịch của Clinton Davisson là gì?,Hoa Kỳ
David MacMillan sinh ở đâu?,/Bellshill
C.V. Raman đã được trao giải thưởng nào cao quý nhất ở Ấn Độ?,/Bharat Ratna
Ai là phối ngẫu của Barack Obama?,Michelle Obama
Barbara McClintock đã làm việc ở đâu?,Đại Học Cornell
Alan Turing sinh ở đâu?,Luân Đôn
Đất nước nào là quê hương của nhà hóa học nổi tiếng Alfred Werner?,Thụy Sĩ
Anne L'Huillier đã đạt được học vị nào?,Bachelor Of Arts
Daniel Kahneman làm việc tại đâu?,Đại Học British Columbia
Quốc tịch của Alfred Werner là gì?,Thụy Sĩ
Nơi sinh của Alfred G. Gilman là ở đâu?,Connecticut
Ai là người nghiên cứu cùng với Adolf Von Baeyer và nổi tiếng trong lĩnh vực hóa học?,/Victor Villiger
Ở đâu Akira Yoshino làm việc?,/Meijo University
Nơi Charles Brenton Huggins sinh là ở đâu?,Nova Scotia
Bạn có biết Copernicus từng làm giáo sư tại trường lớp nào trước khi trở thành giáo sư tại đại học Padova không?,Đại Học Padova
Brian Kobilka học tại trường đại học nào?,Đại Học Yale
Amartya Sen sinh ra ở đâu?,Santiniketan
Alfred Kleiner sinh ở đâu?,Maschwanden
"Vật lý nào nghiên cứu về các hiện tượng và lý thuyết trong vũ trụ, nguyên tử và các phân tử?",Vật Lý Hiện Đại
Alice Munro sinh ở tỉnh nào?,Ontario
Ở đâu Akira Yoshino đã nhận học vị?,Đại Học Osaka
Alice Munro đã từng giành giải thưởng nào trong danh sách dưới đây?,Giải Man Booker Quốc Tế
Trường đại học nào mà Alfred Kleiner là giáo sư?,Đại Học Zürich
Daron Acemoglu đã từng nhận được giải thưởng nào?,/Giải Thưởng John Von Neumann
Ai đã được trao /Huy Chương Franklin?,/Huy Chương Franklin
Nơi Carl David Anderson đã mất là ở đâu?,"/San Marino, California"
Albert Einstein đã làm việc tại đâu?,Đại Học Leiden
Dmitry Muratov làm nghề gì?,/Journalist
Adolf Von Baeyer đã đạt được thành tựu gì mà đã giúp ông giành được Giải Nobel Hóa Học?,Giải Nobel Hóa Học
Ai là đồng nghiệp nghiên cứu nổi tiếng của Abdus Salam?,/Fayyazuddin
Nơi công tác của David J. Wineland là đâu?,"/Đại Học Colorado, Boulder"
Giải thưởng nào mà Andrei Sakharov đã nhận được?,/Prix Mondial Cino Del Duca
Craig Mello đã theo học ở trường lớp nào?,Đại Học Brown
Ai là người đồng tác giả với Daniel Kahneman trong nghiên cứu nổi tiếng?,/Ziv Carmon
Eisaku Satō qua đời ở đâu?,Tokyo
Ai là người nghiên cứu sinh nổi tiếng trong Triple Edward Mills Purcell?,/Charles Pence Slichter
Năm sinh của Edward Lawrie Tatum là bao nhiêu?,1909
Ai là đồng nghiệp nổi tiếng của Emil Fischer?,/Otto Ruff
Nơi sinh của David Hume là ở đâu?,Edinburgh
Quốc gia nào là nơi sinh của nhà văn Doris Lessing?,Iran
Edward Lawrie Tatum sinh ở bang nào?,Colorado
Ai là người hướng dẫn luận án tiến sĩ của Donald J. Cram?,Không có người hướng dẫn tiến sĩ
Trường đại học nào mà Donald A. Glaser đã giảng dạy?,/Đại Học Tây Case
Ai là những người đã được trao Giải Nobel Sinh Lý Học Và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ở đâu David Card sinh?,"/Guelph, Ontario"
Duncan Haldane là người nước nào?,Người Slovenia
Ai là người được Eduard Buchner hướng dẫn luận án tiến sĩ?,Adolf Von Baeyer
Quốc tịch của Donald J. Cram là gì?,Hoa Kỳ
David MacMillan làm việc tại đâu?,Viện Công Nghệ California
Ai là người đoạt giải Nobel Vật Lý năm nào?,Giải Nobel Vật Lý
Edward Adelbert Doisy mất tại tiểu bang nào?,Missouri
Donald A. Glaser sinh ở đâu?,Hoa Kỳ
Ei-Ichi Negishi làm việc tại công ty nào?,/Teijin
David Hume sinh vào ngày nào?,/Old Style
Edmund Phelps làm việc ở đâu?,Đại Học Pennsylvania
"Trường đại học nào mà Earl Wilbur Sutherland, Jr đã tốt nghiệp?",/Đại Học Washburn
Donald J. Cram đã nhận được giải thưởng nào?,Huân Chương Khoa Học Quốc Gia
Ai là người được đề cử giải Nobel vì công trình nghiên cứu về protein và cấu trúc protein?,/Tom Blundell
Ai là người đồng nghiệp nổi tiếng của Edward Teller trong lĩnh vực nghiên cứu?,/Boris Jacobsohn
Trường nào mà Donald A. Glaser đã giảng dạy và làm việc?,Viện Công Nghệ California
Ai là người mà Doris Lessing đã mất?,Anh
Ai đã được trao Giải Nguyên Tử Vì Hòa Bình?,Giải Nguyên Tử Vì Hòa Bình
Quốc tịch của nhà văn Elfriede Jelinek là gì?,Áo
Daniel Nathans đã nhận được giải thưởng gì?,Huân Chương Khoa Học Quốc Gia
Ai đã được trao Giải thưởng Elias James Corey và Huân Chương Khoa Học Quốc Gia?,Huân Chương Khoa Học Quốc Gia
David J. Wineland nơi công tác ở đâu?,"/Đại Học Colorado, Boulder"
Quốc tịch của Duncan Haldane là gì?,Người Anh
Nơi Dudley R. Herschbach công tác là đâu?,Đại Học Harvard
Ai là người được ảnh hưởng bởi Edward Victor Appleton?,/Miles Barnett
Bạn biết trường nào Dominique Pire đã học tại không?,/Đại Học Công Giáo Leuven
Edward Teller đã nhận được giải thưởng nào?,/Harvey Prize
Edwin McMillan học tại trường đại học nào?,Đại Học Princeton
"""Đâu là địa điểm mà Copernicus mất?""",/Warmia
Quốc tịch của David J. Wineland là gì?,Hoa Kỳ
Ernest Lawrence mất ở đâu?,"Palo Alto, California"
Ai là vợ của Edward Teller?,/Augusta H. Teller
Emil Fischer học tại trường lớp nào?,Đại Học Bonn
Ai là người hướng dẫn luận án tiến sĩ của David J. Wineland?,"Norman Foster Ramsey, Jr"
"Nơi mà Earl Wilbur Sutherland, Jr sinh là đâu?",/Burlingame
Donald A. Glaser đã nhận được giải thưởng nào?,Giải Nobel Vật Lý
Quốc tịch của Cyril Norman Hinshelwood là gì?,Anh
Emilio G. Segrè học tại trường đại học nào?,/Đại Học Rome La Sapienza
Drew Weissman đã nhận giải thưởng nào từ VinFuture?,VinFuture
Donald J. Cram đã mất ở đâu?,California
Quốc tịch của Edward C. Prescott là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Donna Strickland?,Không có người hướng dẫn tiến sĩ
Doris Lessing làm nghề gì?,Nhà Văn
Ai là người hướng dẫn luận án tiến sĩ của Duncan Haldane?,Philip Warren Anderson
David Julius làm việc tại đâu?,"Đại Học California, San Francisco"
Ai đã nhận Giải Louisa Gross Horwitz trong lĩnh vực mà Elizabeth Blackburn đã đoạt giải thưởng?,Giải Louisa Gross Horwitz
Quốc tịch của Edward B. Lewis là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Ernest Lawrence?,/William Francis Gray Swann
Ai là /Tiến Sĩ Y Khoa trong Triple Edwin G. Krebs - Trường lớp - /Tiến Sĩ Y Khoa?,/Tiến Sĩ Y Khoa
Dorothy Hodgkin mất ở đâu?,/Ilmington
Daniel Kahneman làm việc ở đâu?,"/Đại Học Hebrew, Jerusalem"
Ai là người được liên kết với Edward Victor Appleton trong Triple đó?,/Charles Oatley
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,/Jeremy Thorner
Quốc tịch của Daron Acemoglu là gì?,Hoa Kỳ
Ai đã nhận /Huy Chương Hughes?,/Huy Chương Hughes
Ở thành phố nào Dudley R. Herschbach sinh ra?,"San Jose, California"
Dennis Gabor đã được trao giải thưởng nào?,/Huân Chương Danh Dự IEEE
David Card công tác tại đâu?,Đại Học California Tại Berkeley
Ở đâu Duncan Haldane sinh ra?,Luân Đôn
Derek Barton làm việc tại đâu?,/Institut De Chimie Des Substances Naturelles
Donald A. Glaser đến từ trường nào?,/Trường Kỹ Thuật Case
Nơi nào mà Edward Victor Appleton làm việc?,Phòng Thí Nghiệm Cavendish
Giải thưởng nào được Daniel Kahneman đoạt được năm 2002?,/Giải Thưởng Grawemeyer
Edward Victor Appleton làm việc ở đâu?,Đại Học Cambridge
Quốc tịch của Edward Calvin Kendall là gì?,Hoa Kỳ
Trường nào mà Edwin McMillan từng làm giáo sư?,Học Viện Công Nghệ California
Bạn có thể cung cấp liên kết đến luận án của Edward Condon không?,Https://Search.Proquest.Com/Docview/301737248/
Doris Lessing đã từng nhận được giải thưởng nào dành cho tiểu thuyết nước ngoài?,Giải Médicis Cho Tiểu Thuyết Nước Ngoài
Ai là người cùng Daniel Kahneman tham gia vào nghiên cứu nổi tiếng?,/Anat Ninio
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Quốc tịch của Daniel Kahneman là gì?,Israel
Dmitry Muratov làm nghề gì?,TV Presenter
Ai là cộng sự nghiên cứu nổi tiếng của Emil Fischer?,/Julius Tafel
"Câu hỏi: Daron Acemoglu đã được trao giải thưởng nào được coi là ""Nobel thứ hai trong lĩnh vực Kinh tế""?",Giải John Bates Clark
Trường đại học mà Edward Condon từng giảng dạy là gì?,"Đại Học California, Berkeley"
Quốc tịch của Ei-Ichi Negishi là gì?,Nhật Bản
Ai là người hướng dẫn luận án tiến sĩ của Emilio G. Segrè?,Enrico Fermi
Nơi Emilio G. Segrè công tác là đâu?,/Đại Học Rome La Sapienza
Nơi Edward Calvin Kendall sinh là đất nước nào?,Hoa Kỳ
Douglass North làm việc ở đâu?,Đại Học Washington
Ai là người hướng dẫn luận án tiến sĩ của Werner Heisenberg?,Werner Heisenberg
Dario Fo sinh ở quốc gia nào?,Ý
Nơi sinh của Cyril Norman Hinshelwood là ở đâu?,Luân Đôn
Ở bang nào Dudley R. Herschbach sinh ra?,California
Ai là người hướng dẫn luận án tiến sĩ của Donna Strickland?,Gérard Mourou
Emil Fischer làm việc tại đâu?,/Đại Học Erlangen
Quốc tịch của Doris Lessing là gì?,Vương Quốc Liên Hiệp Anh Và Bắc Ireland
Edward C. Prescott được trao giải thưởng Nobel trong lĩnh vực nào?,Kinh Tế
Năm nào Elias James Corey đã nhận Giải thưởng?,2004
Nơi David MacMillan công tác là gì?,Đại Học Harvard
Ernest Rutherford đã mất ở đâu?,Cambridge
Elie Wiesel đã nhận được giải thưởng nào?,/Congressional Gold Medal
David MacMillan đã đạt được học vị gì?,Cử Nhân Khoa Học
Quốc tịch của Elias James Corey là gì?,Mỹ
Didier Queloz đã từng đoạt giải thưởng nào trong lĩnh vực của mình?,Giải Nobel Vật Lý
Erik Axel Karlfeldt sinh ở vùng nào?,Dalarna
Edward Calvin Kendall làm việc tại đâu?,Đại Học Princeton
Ai là thành phố mà Dario Fo mất?,Milan
Ai là người hướng dẫn luận án tiến sĩ của Daniel McFadden?,Không có người hướng dẫn tiến sĩ
Ở đâu Eric Maskin sinh ra?,Thành Phố New York
Edward Victor Appleton đã đoạt giải thưởng danh giá nào trong lĩnh vực Vật Lý?,Giải Nobel Vật Lý
Nơi sinh của Edwin G. Krebs là đâu?,/Lansing
David MacMillan đã đạt học vị ở đâu?,Đại Học Glasgow
Ai là người hướng dẫn luận án tiến sĩ của David Julius?,Randy Schekman
Emil Fischer sinh ở đâu?,/Euskirchen
Trường đại học nào mà Edward Teller từng làm giáo sư?,/University Of Munich
Quốc tịch của Daniel Nathans là gì?,Hoa Kỳ
Nơi sinh của Donald A. Glaser là ở đâu?,Ohio
Corneille Heymans mất ở đâu?,/Knokke
Edward Victor Appleton làm việc ở đâu?,Đại Học Hoàng Đế Luân Đôn
Bạn biết Dudley R. Herschbach đến từ trường lớp nào?,Đại Học Stanford
Enrico Fermi làm việc tại đâu?,Đại Học Leiden
Ai đã được trao Giải Nobel Vật Lý?,Giải Nobel Vật Lý
Năm nào Dorothy Hodgkin đã nhận Giải thưởng?,1982
Enrico Fermi sinh ra ở đâu?,Vương Quốc Ý (1861-1946
Thành phố nào Desmond Tutu đã mất?,Cape Town
Edward Calvin Kendall mất ở tiểu bang nào?,New Jersey
Ai đã được trao Huy Chương Frisch?,Huy Chương Frisch
Ai là người cộng tác với Emil Fischer trong các nghiên cứu nổi tiếng?,Otto Diels
Quốc tịch của Douglass North là gì?,Hoa Kỳ
Giải thưởng nào mà Daniel Kahneman đã nhận?,/Giải Thưởng Tưởng Niệm Nobel Về Khoa Học Kinh Tế
Quốc gia nào là quê hương của Dan Shechtman?,Israel
Emil Fischer sinh sống ở quốc gia nào?,Đế Quốc Đức
Douglass North làm việc ở đâu?,Đại Học Cambridge
Ai đã được trao Giải Nobel Sinh Lý Học Hoặc Y Học?,Giải Nobel Sinh Lý Học Hoặc Y Học
"Trong trường học của Elizabeth Blackburn, ngôn ngữ chính thức được sử dụng là gì?",Anh
Edmund Phelps làm việc tại tổ chức nào?,/Cowles Foundation
Quốc tịch của Elie Wiesel là gì?,Hoa Kỳ
David J. Thouless làm việc tại đâu?,Đại Học Washington
Emil Fischer làm việc tại đâu?,/Đại Học Würzburg
Ai đã được trao Giải Nghiên Cứu Y Học Lâm Sàng Lasker-DeBakey?,Giải Nghiên Cứu Y Học Lâm Sàng Lasker-DeBakey
Emil Fischer sinh ở quốc gia nào?,Đức
Ai là người hướng dẫn luận án tiến sĩ của David J. Thouless?,Hans Bethe
Ai là người đồng nghiệp và đồng nghiệp của Elizabeth Blackburn trong việc phát hiện ra enzym telomerase?,Carol W. Greider
Emil Fischer làm việc ở nơi nào vào năm nào?,1888
Nơi nào Dennis Gabor mất?,Luân Đôn
Desmond Tutu sinh ở đâu?,/Klerksdorp
Ai là người được đề cử trong Triple này?,/Charles Critchfield
Craig Mello đã nhận giải thưởng nào?,Giải Wiley
Nơi Daron Acemoglu sinh là ở đâu?,Istanbul
Ai là người được nhắc đến trong Triple: Dorothy Hodgkin - Các nghiên cứu sinh nổi tiếng - /Judith Howard?,/Judith Howard
Bạn học vị của David MacMillan là gì tại đâu?,"/Đại Học California, Irvine"
Dominique Pire sinh ở đâu?,Bỉ
Quốc tịch của Eric Maskin là gì?,Hoa Kỳ
Bạn có biết Copernicus đã học tại trường lớp nào trước khi vào Đại Học Jagiellonia không?,Đại Học Jagiellonia
Dmitry Muratov sinh ở đâu?,Cộng Hòa Xã Hội Chủ Nghĩa Xô Viết Liên Bang Nga
Nơi nào Douglass North sinh ra?,"Cambridge, Massachusetts"
Edward Victor Appleton mất ở đâu?,Scotland
Đâu là tên của người nghiên cứu khoa học đồng nghiệp của Dudley R. Herschbach?,/Richard N. Zare
Ai là những người đã đoạt giải Nobel Hóa Học?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Ai đã được trao Giải Rosenstiel trong lĩnh vực hóa học?,Giải Rosenstiel
Năm nào Elias James Corey đã giành giải thưởng?,1986
Ai là người có liên quan đến Triple Dudley R. Herschbach trong lĩnh vực nghiên cứu?,/Anita Goel
Ai là người hướng dẫn luận án tiến sĩ của David J. Wineland?,Không có người hướng dẫn tiến sĩ
Ai là người hướng dẫn luận án tiến sĩ của Ei-Ichi Negishi?,Không có người hướng dẫn tiến sĩ
Ernest Rutherford làm việc tại đâu?,/Victoria University Of Manchester
Năm nào Dorothy Hodgkin được trao giải thưởng?,1986
Ai là những người đã đoạt giải Nobel trong lĩnh vực Sinh lý học và Y khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Danh sách các người đoạt Giải Nobel Sinh lý học và Y khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Ai là người đã mất và có liên quan đến New York (Tiểu Bang)?,New York (Tiểu Bang
Ai là những người đã đoạt Giải Nobel Kinh Tế?,Danh Sách Người Đoạt Giải Nobel Kinh Tế
Năm nào Donald A. Glaser giành Giải thưởng?,1961
Dorothy Hodgkin là người nước nào?,Anh
Nơi Duncan Haldane công tác là đâu?,Đại Học Princeton
Nơi Donald A. Glaser mất là ở đâu?,"Berkeley, California"
Ai là vị vua đã mời Copernicus đến Hoàng Gia Phổ?,Hoàng Gia Phổ
Drew Weissman đã nhận giải thưởng nào trong lĩnh vực nghiên cứu y tế?,Giải Rosenstiel
Craig Mello đã được trao giải thưởng nào?,/Giải Massry
Ai là người sinh ra tại Chester?,Chester
Nơi sinh của Edmund Phelps là ở đâu?,"Evanston, Illinois"
Quốc tịch của David J. Wineland là gì?,Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Eduard Buchner?,Không có người hướng dẫn tiến sĩ
Ai là người đã sinh ra Edward Adelbert Doisy?,David Hume
Edwin McMillan sinh ở tiểu bang nào?,California
Ai là người đã mất?,Anh
Emil Fischer sinh ra ở quốc gia nào?,Đức
Craig Mello đã giành được giải thưởng nào từ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ?,Giải Sinh Học Phân Tử Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Quốc tịch của Duncan Haldane là gì?,Vương Quốc Anh
Ai là người cộng tác với Edmund Phelps trong các nghiên cứu nổi tiếng?,/Roman Frydman
Ai là người đã nhận Huy Chương Benjamin Franklin Về Vật Lý Học?,/Huy Chương Benjamin Franklin Về Vật Lý Học
Emil Fischer làm việc tại nơi nào vào năm nào?,1892
Derek Barton học tại trường đại học nào?,/Imperial College London
Nơi Dan Shechtman công tác là đâu?,/Technion
Daniel Nathans sinh ở đâu?,"Wilmington, Delaware"
Duncan Haldane làm việc ở đâu?,Phòng Thí Nghiệm Bell
Edward Lawrie Tatum làm việc ở đâu?,Đại Học Yale
Erik Axel Karlfeldt sinh ra ở đâu?,Thụy Điển
Bạn muốn biết David J. Thouless sinh ở đâu?,/Bearsden
Eisaku Satō là người nổi tiếng của quốc gia nào?,Đế Quốc Nhật Bản
Emil Fischer làm việc ở nơi nào vào năm nào?,1875
Ở bang nào Elias James Corey sinh ra?,Massachusetts
Ai là người hướng dẫn luận án tiến sĩ của David MacMillan?,/Larry E. Overman
Eric Allin Cornell học ở đâu?,Đại Học Stanford
Danh sách những người đã đoạt Giải Nobel Sinh Lý Học và Y Khoa bao gồm ai?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Edward Calvin Kendall làm việc ở đâu?,/Mayo Clinic
Ai là những người đoạt giải Nobel Sinh Lý Học và Y Khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Giải thưởng nào mà David J. Thouless từng đoạt được?,/Lars Onsager Prize
Dorothy Hodgkin đã nhận được giải thưởng nào từ Hội Hoàng gia London?,Huy Chương Copley
Edward Teller đã đạt được bằng cấp nào?,Doctor Of Philosophy
Emil Adolf Von Behring qua đời ở thành phố nào?,Marburg
"Quốc tịch của Earl Wilbur Sutherland, Jr là gì?",Hoa Kỳ
Ai là người hướng dẫn luận án tiến sĩ của Edward Adelbert Doisy?,Không có người hướng dẫn tiến sĩ
Elie Wiesel đã nhận được giải thưởng nào từ Romania?,/Order Of The Star Of Romania
Dmitry Muratov làm công việc gì?,/Contributing Editor
Danh sách nào gồm tên của Edwin G. Krebs và các người đã đoạt giải Nobel Sinh lý học và Y khoa?,Danh Sách Người Đoạt Giải Nobel Sinh Lý Học Và Y Khoa
Quốc tịch của Corneille Heymans là gì?,Bỉ
Dmitry Muratov là người nghề gì?,/Journalist
Daron Acemoglu làm việc tại trường đại học nào?,Trường Kinh Tế Và Khoa Học Chính Trị Luân Đôn
Ai là người hướng dẫn luận án tiến sĩ của Raymond Thayer Birge?,/Raymond Thayer Birge
Bạn đã học ở trường nào khi là sinh viên của Eric Betzig?,Đại Học Cornell
Nơi Edward Victor Appleton công tác là /Đại Học Bradford phải không?,/Đại Học Bradford
"Daniel Kahneman đã liên quan đến điều gì trong Triple mà câu trả lời là ""Lãnh Thổ Uỷ Trị Palestine""?",Lãnh Thổ Uỷ Trị Palestine
Nơi Edward Mills Purcell đã qua đời là ở đâu?,"Cambridge, Massachusetts"
Ai là người hướng dẫn luận án tiến sĩ của Edward Mills Purcell?,/Kenneth Bainbridge
Corneille Heymans sinh ở đâu?,Bỉ
Năm sinh của Eisaku Satō là năm nào?,1901
Edward Condon làm việc tại đâu?,/Công Ty Điện Lực Westinghouse
Ngày nào Ernest Rutherford sinh?,30 Tháng 8
David Hume sinh vào thời kỳ nào?,/New Style
Douglass North công tác ở đâu?,/Đại Học Washington Ở St. Louis
Daniel Kahneman đã nhận giải thưởng nào từ Cộng Đồng Tâm Lý Học Hoa Kỳ?,/Cộng Đồng Tâm Lý Học Hoa Kỳ
Nơi Donald J. Cram sinh là ở đâu?,Vermont
Nơi Edward Victor Appleton mất là ở đâu?,Edinburgh
Elie Wiesel đã được trao giải thưởng nào từ Anh Quốc?,Order Of The British Empire
Ernest Lawrence đã được tuyển dụng tại trường đại học nào?,Đại Học Yale
Quốc tịch của Dudley R. Herschbach là gì?,Hoa Kỳ
"Với Daniel Kahneman, giải thưởng nào ông đã nhận được?",Huân Chương Tự Do Tổng Thống
Ai là người đã nhận Giải John J. Carty Cho Thăng Tiến Khoa Học?,Giải John J. Carty Cho Thăng Tiến Khoa Học
Donald J. Cram qua đời ở đâu?,/Palm Desert
Daniel Kahneman có học vị gì?,Tiến Sĩ
Vị thế nào của Dag Hammarskjöld trong lịch sử đất nước nào?,Zambia
Ai là người hướng dẫn luận án tiến sĩ của Edwin McMillan?,Edward Condon
Ernest Rutherford đã đoạt giải thưởng nào trong lĩnh vực Hóa Học?,Giải Nobel Hóa Học
Elizabeth Blackburn đã đoạt giải thưởng nào từ Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ?,Giải Sinh Học Phân Tử Của Viện Hàn Lâm Khoa Học Quốc Gia Hoa Kỳ
Ai đã được trao Huy Chương John Bates Clark?,Huy Chương John Bates Clark
Elfriede Jelinek sinh ở đâu?,Steiermark
Ở đâu Edward Teller làm việc?,Đại Học California Tại Berkeley
David MacMillan đã đoạt giải thưởng nào?,/Huy Chương Corday-Morgan
Donna Strickland học tại trường đại học nào?,/University Of Rochester
Bạn có thể cung cấp link đến luận án về Ernest Lawrence ở đâu không?,Https://Www.Tandfonline.Com/Doi/Full/10.1080/14786442508634745
"Năm nào Earl Wilbur Sutherland, Jr mất?",1974
Dorothy Hodgkin đã đoạt giải thưởng nào?,/Huy Chương Vàng Lômnosov
Edward Teller làm việc ở đâu?,Đại Học Göttingen
Ai là người đồng nghiệp nổi tiếng của Edward Condon trong lĩnh vực nghiên cứu?,Edwin McMillan
Derek Walcott sinh ra ở đâu?,Saint Lucia
Cyril Norman Hinshelwood làm việc ở đâu?,Đại Học Oxford
Quốc tịch của Edwin G. Krebs là gì?,Hoa Kỳ
Dennis Gabor đã từng giảng dạy tại trường nào?,/Đại Học Kỹ Thuật Budapest
Trường đại học nào mà David J. Thouless từng làm việc tại?,Đại Học Cornell
Ai không có người hướng dẫn tiến sĩ?,Không có người hướng dẫn tiến sĩ
Elias James Corey đã nhận được giải thưởng nào?,/Giải Thưởng Nhật Bản
Quốc gia nào là nơi Derek Walcott sinh ra?,Saint Lucia
Edward Victor Appleton đã nhận được giải thưởng nào?,/Huy Chương Danh Dự IEEE
Drew Weissman đã đạt được giải thưởng nào trong lĩnh vực nghiên cứu y học lâm sàng?,/Diải Nghiên Cứu Y Học Lâm Sàng Lasker-DeBakey
Ai đã được trao Huy Chương Frisch?,Huy Chương Frisch
Ai là người tiếp theo trong chuỗi Triple: Edward Teller - Các sinh viên nổi tiếng - ...?,Jack Steinberger
Ngày nào Eisaku Satō mất?,3 Tháng 6
Ai là người đoạt giải Văn Học Quốc Tế Neustadt?,Giải Văn Học Quốc Tế Neustadt
Bạn có thể cho biết ai là người cộng tác với Daniel Kahneman trong các nghiên cứu nổi tiếng?,/Baruch Fischhoff
Năm nào Elias James Corey đã giành giải thưởng?,1990
Elie Wiesel đã được trao giải thưởng nổi bật nào từ tổng thống?,Huân Chương Tự Do Tổng Thống
Dorothy Hodgkin mất ở đâu?,Warwickshire
David Card đã được trao tặng giải thưởng nào?,Giải Nobel Kinh Tế
Người nào sinh ra ở nơi có tên là Wilkes-Barr?,/Wilkes-Barr
David Hume học tại trường lớp nào trước khi vào Đại Học Edinburgh?,Đại Học Edinburgh
Dag Hammarskjöld đã đóng vai trò quan trọng trong việc thành lập tổ chức nào?,Liên Minh Giữa Thụy Điển Và Na Uy
Ai là người đã được trao Giải Nobel Hóa Học?,Giải Nobel Hóa Học
Quốc tịch của Emil Adolf Von Behring là gì?,Đức
Nơi nào Edward Teller đã qua đời?,"Stanford, California"
Ai là người hướng dẫn luận án tiến sĩ của Edward Teller?,Không có người hướng dẫn tiến sĩ
Ernest Rutherford mất ở đâu?,Anh
Trường đại học nào mà Corneille Heymans đã tốt nghiệp?,/Đại Học Ghent
Ai là người hướng dẫn luận án tiến sĩ của Elizabeth Blackburn?,Frederick Sanger
"Ai là nhà văn đã đoạt giải thưởng nổi bật và cũng là tác giả của tác phẩm ""Bắc Đẩu Bội Tinh""?",Bắc Đẩu Bội Tinh
Đâu là tên của nhà toán học nổi tiếng mà Enrico Fermi đã nghiên cứu?,Lý Chính Đạo
Ở đâu Daniel Kahneman đã nhận học vị của mình?,"Đại Học California, Berkeley"
Ai là người hướng dẫn tiến sĩ của Dorothy Hodgkin?,Không có người hướng dẫn tiến sĩ
Ai đã được trao Huy Chương Lorentz?,Huy Chương Lorentz
Danh sách những người đã đoạt giải Nobel Hóa Học bao gồm những ai?,Danh Sách Người Đoạt Giải Nobel Hóa Học
Ai là người hướng dẫn tiến sĩ cho David J. Thouless?,Không có người hướng dẫn tiến sĩ
Edward Calvin Kendall sinh ở tiểu bang nào?,Connecticut
Đất nước nào Dmitry Muratov sinh ra?,Liên Xô
Nơi David J. Wineland công tác là đâu?,/Viện Quốc Gia Tiêu Chuẩn Và Công Nghệ
Ai đã được trao Huy Chương IET Faraday?,/Huy Chương IET Faraday
Daniel Kahneman có học vị gì?,/Thạc Sĩ Nghệ Thuật
Czesław Miłosz sinh ở đâu?,/Kedainiai
Elie Wiesel sinh ở tỉnh nào?,/Maramureș County
Nơi David Julius sinh là ở đâu?,"Brooklyn, New York"
Quốc tịch của Edmund Phelps là gì?,Người Mỹ
Nơi nào Dudley R. Herschbach công tác?,Đại Học California Tại Berkeley
Trường đại học nào mà David J. Thouless mất tại đó?,Cambridge
Nơi sinh của Elizabeth Blackburn là ở đâu?,Tasmania
Nơi sinh của Edward Victor Appleton là ở đâu?,Bradford
David J. Wineland từng làm việc tại trường học nào?,Đại Học Harvard
Quốc tịch của Edward Lawrie Tatum là gì?,Hoa Kỳ
Edward Teller đã nhận được giải thưởng nào?,/Enrico Fermi Award
Ai là người được đề cử trong Triple này?,/Mordecai Kurz
Quốc tịch của Edwin McMillan là gì?,Hoa Kỳ
Edwin G. Krebs đã đạt được danh hiệu gì tại trường lớp?,Cử Nhân Khoa Học
